Thu Feb  6 11:14:33 2025    profile_output.prof

         13895108 function calls (13725468 primitive calls) in 10.472 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6620    0.012    0.000    0.118    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\transforms.py:1472(transform)
28334/27174    0.013    0.000    0.116    0.000 {built-in method builtins.next}
     7854    0.019    0.000    0.115    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:467(update_position)
140883/140535    0.041    0.000    0.113    0.000 {built-in method builtins.getattr}
      306    0.006    0.000    0.108    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\ticker.py:2951(__call__)
        6    0.000    0.000    0.105    0.018 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\backend_bases.py:1551(_get_renderer)
       12    0.000    0.000    0.094    0.008 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axes\_base.py:1409(clear)
       12    0.001    0.000    0.094    0.008 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axes\_base.py:1277(__clear)
     1885    0.023    0.000    0.091    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\lines.py:672(recache)
       54    0.000    0.000    0.088    0.002 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\artist.py:348(get_tightbbox)
13776/13486    0.007    0.000    0.085    0.000 C:\Users\leavi\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:136(__enter__)
     1346    0.009    0.000    0.085    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\text.py:157(_reset_visual_defaults)
    89862    0.036    0.000    0.084    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\__init__.py:778(__getitem__)
    44868    0.041    0.000    0.084    0.000 C:\Users\leavi\AppData\Local\Programs\Python\Python313\Lib\copy.py:62(copy)
     6620    0.005    0.000    0.084    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\transforms.py:2408(transform_affine)
     4272    0.005    0.000    0.083    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\text.py:239(_get_xy_display)
      306    0.006    0.000    0.083    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\transforms.py:641(union)
170756/146520    0.041    0.000    0.082    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\artist.py:315(stale)
      720    0.007    0.000    0.082    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:2821(get_tick_space)
        6    0.000    0.000    0.081    0.013 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\PIL\Image.py:652(_ensure_mutable)
        6    0.000    0.000    0.081    0.013 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\PIL\Image.py:647(_copy)
       48    0.081    0.002    0.081    0.002 {method 'copy' of 'ImagingCore' objects}
   627286    0.078    0.000    0.079    0.000 {built-in method numpy.asanyarray}
      420    0.043    0.000    0.078    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\backends\backend_agg.py:248(_prepare_font)
      132    0.000    0.000    0.075    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\patches.py:633(draw)
2466/2448    0.002    0.000    0.074    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axis.py:2356(getter)
2808/2748    0.002    0.000    0.073    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axes\_base.py:865(viewLim)
649214/648659    0.072    0.000    0.073    0.000 {built-in method builtins.len}
      120    0.001    0.000    0.072    0.001 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\patches.py:583(_draw_paths_with_artist_properties)
2832/2772    0.010    0.000    0.072    0.000 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\axes\_base.py:851(_unstale_viewLim)
   5289/1    0.028    0.000    0.071    0.071 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\text.py:926(get_window_extent)
   1313/1    0.034    0.000    0.070    0.070 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\text.py:358(_get_layout)
        6    0.000    0.000    0.068    0.011 C:\Users\leavi\OneDrive\Dokumente\Uni\Semester 7\NeuMoQP\Programm\.venv\Lib\site-packages\matplotlib\figure.py:785(subplots)
