length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,SKR
10000000.0,0.15,0.075,0.12000000000000001,0.38,1,[3178805.07409327]
10000000.0,0.15,0.075,0.12000000000000001,0.4,1,[3340266.72998889]
10000000.0,0.15,0.075,0.12000000000000001,0.42000000000000004,1,[3499915.73178157]
10000000.0,0.15,0.075,0.12000000000000001,0.44,1,[3657232.9683254]
10000000.0,0.15,0.075,0.12000000000000001,0.46,1,[3811509.09979643]
10000000.0,0.15,0.075,0.12000000000000001,0.48000000000000004,1,[3961755.71904599]
10000000.0,0.15,0.075,0.12000000000000001,0.5,1,[4106564.47610827]
10000000.0,0.15,0.075,0.12000000000000001,0.52,1,[4243876.40528751]
10000000.0,0.15,0.075,0.12000000000000001,0.54,1,[4370590.06461813]
10000000.0,0.15,0.075,0.12000000000000001,0.56,1,[4481866.99102381]
10000000.0,0.15,0.075,0.12000000000000001,0.5800000000000001,1,[4569838.65643844]
10000000.0,0.15,0.075,0.12000000000000001,0.6,1,[4621059.01844769]
10000000.0,0.15,0.075,0.12000000000000001,0.62,1,[4611159.80309161]
10000000.0,0.15,0.075,0.12000000000000001,0.64,1,[4492957.29246555]
10000000.0,0.15,0.075,0.12000000000000001,0.66,1,[4170371.77376338]
10000000.0,0.15,0.075,0.12000000000000001,0.68,1,[3491210.30976817]
10000000.0,0.15,0.075,0.13999999999999999,0.02,1,[169623.54162175]
10000000.0,0.15,0.075,0.13999999999999999,0.04,1,[339219.85456997]
10000000.0,0.15,0.075,0.13999999999999999,0.06,1,[508779.57616074]
10000000.0,0.15,0.075,0.13999999999999999,0.08,1,[678293.26824796]
10000000.0,0.15,0.075,0.13999999999999999,0.1,1,[847750.74259794]
10000000.0,0.15,0.075,0.13999999999999999,0.12000000000000001,1,[1017140.62323056]
10000000.0,0.15,0.075,0.13999999999999999,0.13999999999999999,1,[1186449.96532743]
10000000.0,0.15,0.075,0.13999999999999999,0.16,1,[1355663.85449562]
10000000.0,0.15,0.075,0.13999999999999999,0.18,1,[1524764.94670242]
10000000.0,0.15,0.075,0.13999999999999999,0.19999999999999998,1,[1693732.91700518]
10000000.0,0.15,0.075,0.13999999999999999,0.22,1,[1862543.78321643]
10000000.0,0.15,0.075,0.13999999999999999,0.24,1,[2031169.06331657]
10000000.0,0.15,0.075,0.13999999999999999,0.26,1,[2199574.7133597]
10000000.0,0.15,0.075,0.13999999999999999,0.28,1,[2367719.7748824]
10000000.0,0.15,0.075,0.13999999999999999,0.30000000000000004,1,[2535554.63536619]
10000000.0,0.15,0.075,0.13999999999999999,0.32,1,[2703018.76875261]
10000000.0,0.15,0.075,0.13999999999999999,0.34,1,[2870037.77007458]
10000000.0,0.15,0.075,0.13999999999999999,0.36000000000000004,1,[3036519.42066044]
10000000.0,0.15,0.075,0.13999999999999999,0.38,1,[3202348.40492683]
10000000.0,0.15,0.075,0.13999999999999999,0.4,1,[3367379.12526714]
10000000.0,0.15,0.075,0.13999999999999999,0.42000000000000004,1,[3531425.79299818]
10000000.0,0.15,0.075,0.13999999999999999,0.44,1,[3694248.55193825]
10000000.0,0.15,0.075,0.13999999999999999,0.46,1,[3855533.71562313]
10000000.0,0.15,0.075,0.13999999999999999,0.48000000000000004,1,[4014865.0901974]
10000000.0,0.15,0.075,0.13999999999999999,0.5,1,[4171681.48632288]
10000000.0,0.15,0.075,0.13999999999999999,0.52,1,[4325212.28149809]
10000000.0,0.15,0.075,0.13999999999999999,0.54,1,[4474377.08353956]
10000000.0,0.15,0.075,0.13999999999999999,0.56,1,[4617624.74241283]
10000000.0,0.15,0.075,0.13999999999999999,0.5800000000000001,1,[4752666.01938544]
10000000.0,0.15,0.075,0.13999999999999999,0.6,1,[4876011.67790021]
10000000.0,0.15,0.075,0.13999999999999999,0.62,1,[4982136.51080041]
10000000.0,0.15,0.075,0.13999999999999999,0.64,1,[5061881.62204574]
10000000.0,0.15,0.075,0.13999999999999999,0.66,1,[5099197.95227129]
10000000.0,0.15,0.075,0.13999999999999999,0.68,1,[5063992.59141985]
10000000.0,0.15,0.075,0.13999999999999999,0.7000000000000001,1,[4895108.67873457]
10000000.0,0.15,0.075,0.13999999999999999,0.7200000000000001,1,[4458469.44777834]
10000000.0,0.15,0.075,0.13999999999999999,0.74,1,[3516171.89959513]
10000000.0,0.15,0.075,0.16,0.02,1,[169378.52291132]
10000000.0,0.15,0.075,0.16,0.04,1,[338735.14454216]
10000000.0,0.15,0.075,0.16,0.06,1,[508062.64863795]
10000000.0,0.15,0.075,0.16,0.08,1,[677353.90582624]
10000000.0,0.15,0.075,0.16,0.1,1,[846601.33828259]
10000000.0,0.15,0.075,0.16,0.12000000000000001,1,[1015796.59859066]
10000000.0,0.15,0.075,0.16,0.13999999999999999,1,[1184930.30744495]
10000000.0,0.15,0.075,0.16,0.16,1,[1353991.78994213]
10000000.0,0.15,0.075,0.16,0.18,1,[1522968.78202868]
10000000.0,0.15,0.075,0.16,0.19999999999999998,1,[1691847.08679681]
10000000.0,0.15,0.075,0.16,0.22,1,[1860610.16089336]
10000000.0,0.15,0.075,0.16,0.24,1,[2029238.60832767]
10000000.0,0.15,0.075,0.16,0.26,1,[2197709.5533491]
10000000.0,0.15,0.075,0.16,0.28,1,[2365995.85565404]
10000000.0,0.15,0.075,0.16,0.30000000000000004,1,[2534065.11920741]
10000000.0,0.15,0.075,0.16,0.32,1,[2701878.42907724]
10000000.0,0.15,0.075,0.16,0.34,1,[2869388.72677743]
10000000.0,0.15,0.075,0.16,0.36000000000000004,1,[3036538.70046232]
10000000.0,0.15,0.075,0.16,0.38,1,[3203258.01694434]
10000000.0,0.15,0.075,0.16,0.4,1,[3369459.6501482]
10000000.0,0.15,0.075,0.16,0.42000000000000004,1,[3535034.95296087]
10000000.0,0.15,0.075,0.16,0.44,1,[3699846.95660081]
10000000.0,0.15,0.075,0.16,0.46,1,[3863721.13083923]
10000000.0,0.15,0.075,0.16,0.48000000000000004,1,[4026432.44443629]
10000000.0,0.15,0.075,0.16,0.5,1,[4187686.93266954]
10000000.0,0.15,0.075,0.16,0.52,1,[4347094.93879421]
10000000.0,0.15,0.075,0.16,0.54,1,[4504131.44000639]
10000000.0,0.15,0.075,0.16,0.56,1,[4658075.81355889]
10000000.0,0.15,0.075,0.16,0.5800000000000001,1,[4807917.9052724]
10000000.0,0.15,0.075,0.16,0.6,1,[4952207.00662212]
10000000.0,0.15,0.075,0.16,0.62,1,[5088800.36368904]
10000000.0,0.15,0.075,0.16,0.64,1,[5214426.95357094]
10000000.0,0.15,0.075,0.16,0.66,1,[5323893.73236475]
10000000.0,0.15,0.075,0.16,0.68,1,[5408556.81629292]
10000000.0,0.15,0.075,0.16,0.7000000000000001,1,[5453168.71545733]
10000000.0,0.15,0.075,0.16,0.7200000000000001,1,[5428817.42561015]
10000000.0,0.15,0.075,0.16,0.74,1,[5275491.99445275]
10000000.0,0.15,0.075,0.16,0.76,1,[4854733.20243158]
10000000.0,0.15,0.075,0.16,0.78,1,[3841305.84504755]
10000000.0,0.15,0.075,0.18,0.02,1,[168504.77464361]
10000000.0,0.15,0.075,0.18,0.04,1,[336991.43566723]
10000000.0,0.15,0.075,0.18,0.06,1,[505454.19435637]
10000000.0,0.15,0.075,0.18,0.08,1,[673887.42370317]
10000000.0,0.15,0.075,0.18,0.1,1,[842285.21357984]
10000000.0,0.15,0.075,0.18,0.12000000000000001,1,[1010641.11980012]
10000000.0,0.15,0.075,0.18,0.13999999999999999,1,[1178947.9692251]
10000000.0,0.15,0.075,0.18,0.16,1,[1347197.67092768]
10000000.0,0.15,0.075,0.18,0.18,1,[1515381.01127518]
10000000.0,0.15,0.075,0.18,0.19999999999999998,1,[1683487.41841976]
10000000.0,0.15,0.075,0.18,0.22,1,[1851504.68310898]
10000000.0,0.15,0.075,0.18,0.24,1,[2019418.6214749]
10000000.0,0.15,0.075,0.18,0.26,1,[2187212.66246298]
10000000.0,0.15,0.075,0.18,0.28,1,[2354867.33790609]
10000000.0,0.15,0.075,0.18,0.30000000000000004,1,[2522359.64660857]
10000000.0,0.15,0.075,0.18,0.32,1,[2689662.25453022]
10000000.0,0.15,0.075,0.18,0.34,1,[2856742.48021528]
10000000.0,0.15,0.075,0.18,0.36000000000000004,1,[3023560.99642844]
10000000.0,0.15,0.075,0.18,0.38,1,[3190070.15316369]
10000000.0,0.15,0.075,0.18,0.4,1,[3356211.79015802]
10000000.0,0.15,0.075,0.18,0.42000000000000004,1,[3521914.3531609]
10000000.0,0.15,0.075,0.18,0.44,1,[3687089.04866442]
10000000.0,0.15,0.075,0.18,0.46,1,[3851624.65246908]
10000000.0,0.15,0.075,0.18,0.48000000000000004,1,[4015380.40530664]
10000000.0,0.15,0.075,0.18,0.5,1,[4178176.14533836]
10000000.0,0.15,0.075,0.18,0.52,1,[4339778.37711021]
10000000.0,0.15,0.075,0.18,0.54,1,[4499880.24461049]
10000000.0,0.15,0.075,0.18,0.56,1,[4658072.15549403]
10000000.0,0.15,0.075,0.18,0.5800000000000001,1,[4813797.70956858]
10000000.0,0.15,0.075,0.18,0.6,1,[4966285.87648121]
10000000.0,0.15,0.075,0.18,0.62,1,[5114443.56163387]
10000000.0,0.15,0.075,0.18,0.64,1,[5256679.68958615]
10000000.0,0.15,0.075,0.18,0.66,1,[5390605.87952115]
10000000.0,0.15,0.075,0.18,0.68,1,[5512503.71771913]
10000000.0,0.15,0.075,0.18,0.7000000000000001,1,[5616324.66304736]
10000000.0,0.15,0.075,0.18,0.7200000000000001,1,[5691687.96324933]
10000000.0,0.15,0.075,0.18,0.74,1,[5719545.01247327]
10000000.0,0.15,0.075,0.18,0.76,1,[5661830.32567472]
10000000.0,0.15,0.075,0.18,0.78,1,[5433623.46715521]
10000000.0,0.15,0.075,0.18,0.8,1,[4818485.49934374]
10000000.0,0.15,0.075,0.18,0.8200000000000001,1,[3302700.67729859]
