desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 5, SKR: 1773498.7063412182
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 6, SKR: 404259.54210442037
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 6, SKR: 415182.3670902993
desired_p_decoy: 0.02, desired_p_z_alice: 0.78, factor_x_mud: 6, SKR: 426102.97735659423
desired_p_decoy: 0.02, desired_p_z_alice: 0.8, factor_x_mud: 6, SKR: 437020.64990677626
desired_p_decoy: 0.02, desired_p_z_alice: 0.82, factor_x_mud: 6, SKR: 447934.1151758023
desired_p_decoy: 0.02, desired_p_z_alice: 0.84, factor_x_mud: 6, SKR: 458841.2522459916
desired_p_decoy: 0.02, desired_p_z_alice: 0.86, factor_x_mud: 6, SKR: 469738.3944076051
desired_p_decoy: 0.02, desired_p_z_alice: 0.88, factor_x_mud: 6, SKR: 480618.7985982471
desired_p_decoy: 0.02, desired_p_z_alice: 0.9, factor_x_mud: 6, SKR: 491468.93773352826
desired_p_decoy: 0.02, desired_p_z_alice: 0.92, factor_x_mud: 6, SKR: 502258.137078676
desired_p_decoy: 0.02, desired_p_z_alice: 0.94, factor_x_mud: 6, SKR: 512902.8307420593
desired_p_decoy: 0.02, desired_p_z_alice: 0.96, factor_x_mud: 6, SKR: 523093.04906247486
desired_p_decoy: 0.02, desired_p_z_alice: 0.98, factor_x_mud: 6, SKR: 530575.4967344842
desired_p_decoy: 0.04, desired_p_z_alice: 0.92, factor_x_mud: 6, SKR: 1364813.8753420836
desired_p_decoy: 0.04, desired_p_z_alice: 0.94, factor_x_mud: 6, SKR: 1394443.9010045428
desired_p_decoy: 0.04, desired_p_z_alice: 0.96, factor_x_mud: 6, SKR: 1423976.6548874541
desired_p_decoy: 0.04, desired_p_z_alice: 0.98, factor_x_mud: 6, SKR: 1452944.1001760913
desired_p_decoy: 0.06, desired_p_z_alice: 0.96, factor_x_mud: 6, SKR: 1663276.7761767348
desired_p_decoy: 0.06, desired_p_z_alice: 0.98, factor_x_mud: 6, SKR: 1697694.9376888652
desired_p_decoy: 0.08, desired_p_z_alice: 0.98, factor_x_mud: 6, SKR: 1773521.727150228
desired_p_decoy: 0.02, desired_p_z_alice: 0.74, factor_x_mud: 7, SKR: 404259.7789840851
desired_p_decoy: 0.02, desired_p_z_alice: 0.76, factor_x_mud: 7, SKR: 415183.49007731304
