length_multiply,mpn_s,mpn_d,desired_p_decoy,desired_p_z_alice,factor_x_mud,SKR
10000000.0,0.15,0.075,0.13999999999999999,0.24,3,[13109.66262403]
10000000.0,0.15,0.075,0.13999999999999999,0.26,3,[13901.32002848]
10000000.0,0.15,0.075,0.13999999999999999,0.28,3,[14629.35088267]
10000000.0,0.15,0.075,0.13999999999999999,0.30000000000000004,3,[15287.81977819]
10000000.0,0.15,0.075,0.13999999999999999,0.32,3,[15869.92430153]
10000000.0,0.15,0.075,0.13999999999999999,0.34,3,[16367.84659301]
10000000.0,0.15,0.075,0.13999999999999999,0.36000000000000004,3,[16772.57113805]
10000000.0,0.15,0.075,0.13999999999999999,0.38,3,[17073.66017519]
10000000.0,0.15,0.075,0.13999999999999999,0.4,3,[17258.97535223]
10000000.0,0.15,0.075,0.13999999999999999,0.42000000000000004,3,[17314.33053817]
10000000.0,0.15,0.075,0.13999999999999999,0.44,3,[17223.05559607]
10000000.0,0.15,0.075,0.13999999999999999,0.46,3,[16965.44383529]
10000000.0,0.15,0.075,0.13999999999999999,0.48000000000000004,3,[16518.04589473]
10000000.0,0.15,0.075,0.13999999999999999,0.5,3,[15852.75859785]
10000000.0,0.15,0.075,0.13999999999999999,0.52,3,[14935.63677085]
10000000.0,0.15,0.075,0.13999999999999999,0.54,3,[13725.32583887]
10000000.0,0.15,0.075,0.13999999999999999,0.56,3,[12170.96796244]
10000000.0,0.15,0.075,0.13999999999999999,0.5800000000000001,3,[10209.36599143]
10000000.0,0.15,0.075,0.13999999999999999,0.6,3,[7761.08333657]
10000000.0,0.15,0.075,0.13999999999999999,0.62,3,[4724.98964588]
10000000.0,0.15,0.075,0.13999999999999999,0.64,3,[970.48923283]
10000000.0,0.15,0.075,0.16,0.02,3,[1909.97426761]
10000000.0,0.15,0.075,0.16,0.04,3,[3786.27888067]
10000000.0,0.15,0.075,0.16,0.06,3,[5630.85028261]
10000000.0,0.15,0.075,0.16,0.08,3,[7443.80899553]
10000000.0,0.15,0.075,0.16,0.1,3,[9224.5888534]
10000000.0,0.15,0.075,0.16,0.12000000000000001,3,[10972.16061727]
10000000.0,0.15,0.075,0.16,0.13999999999999999,3,[12685.11815164]
10000000.0,0.15,0.075,0.16,0.16,3,[14361.71205147]
10000000.0,0.15,0.075,0.16,0.18,3,[15999.85593622]
10000000.0,0.15,0.075,0.16,0.19999999999999998,3,[17597.115271]
10000000.0,0.15,0.075,0.16,0.22,3,[19150.68289458]
10000000.0,0.15,0.075,0.16,0.24,3,[20657.34280855]
10000000.0,0.15,0.075,0.16,0.26,3,[22113.42231644]
10000000.0,0.15,0.075,0.16,0.28,3,[23514.7316028]
10000000.0,0.15,0.075,0.16,0.30000000000000004,3,[24856.48900836]
10000000.0,0.15,0.075,0.16,0.32,3,[26133.22942347]
10000000.0,0.15,0.075,0.16,0.34,3,[27338.69227912]
10000000.0,0.15,0.075,0.16,0.36000000000000004,3,[28465.68446103]
10000000.0,0.15,0.075,0.16,0.38,3,[29505.91199785]
10000000.0,0.15,0.075,0.16,0.4,3,[30449.77243646]
10000000.0,0.15,0.075,0.16,0.42000000000000004,3,[31286.0972223]
10000000.0,0.15,0.075,0.16,0.44,3,[32001.82987645]
10000000.0,0.15,0.075,0.16,0.46,3,[32581.62090559]
10000000.0,0.15,0.075,0.16,0.48000000000000004,3,[33007.31360888]
10000000.0,0.15,0.075,0.16,0.5,3,[33257.28537552]
10000000.0,0.15,0.075,0.16,0.52,3,[33305.5953556]
10000000.0,0.15,0.075,0.16,0.54,3,[33120.86945005]
10000000.0,0.15,0.075,0.16,0.56,3,[32664.82411407]
10000000.0,0.15,0.075,0.16,0.5800000000000001,3,[31890.28620479]
10000000.0,0.15,0.075,0.16,0.6,3,[30738.49831863]
10000000.0,0.15,0.075,0.16,0.62,3,[29135.3930967]
10000000.0,0.15,0.075,0.16,0.64,3,[26986.35052302]
10000000.0,0.15,0.075,0.16,0.66,3,[24168.67437423]
10000000.0,0.15,0.075,0.16,0.68,3,[20520.55541543]
10000000.0,0.15,0.075,0.16,0.7000000000000001,3,[15824.47363471]
10000000.0,0.15,0.075,0.16,0.7200000000000001,3,[9781.52204555]
10000000.0,0.15,0.075,0.16,0.74,3,[1970.37598287]
10000000.0,0.15,0.075,0.18,0.02,3,[2001.69473867]
10000000.0,0.15,0.075,0.18,0.04,3,[3971.69434539]
10000000.0,0.15,0.075,0.18,0.06,3,[5912.00797873]
10000000.0,0.15,0.075,0.18,0.08,3,[7822.95044155]
10000000.0,0.15,0.075,0.18,0.1,3,[9704.18325705]
10000000.0,0.15,0.075,0.18,0.12000000000000001,3,[11554.93345954]
10000000.0,0.15,0.075,0.18,0.13999999999999999,3,[13374.08191172]
10000000.0,0.15,0.075,0.18,0.16,3,[15160.20098793]
10000000.0,0.15,0.075,0.18,0.18,3,[16911.56604908]
10000000.0,0.15,0.075,0.18,0.19999999999999998,3,[18626.1505074]
